Team,League,Division,Ranking,Year,SB,CS,SO,SH,SF,IBB,BatAge,R,H,HR,RBI,RPG,AvgHomeAtt,Playoff
MIN,AL,Central,30,2016,91,32,1426,27,43,24,26.9,722,1409,200,690,4.46,"24,246",0
NYM,NL,East,9,2016,42,18,1302,35,41,43,29.5,671,1342,218,649,4.14,"34,440",0
NYY,AL,East,14,2016,72,22,1188,21,49,19,30.1,680,1378,183,647,4.2,"37,820",0
OAK,AL,West,25,2016,50,23,1145,13,34,19,28.7,653,1352,169,634,4.03,"18,784",0
PHI,NL,East,23,2016,96,45,1376,46,30,33,26.9,610,1305,161,574,3.77,"23,644",0
PIT,NL,Central,18,2016,110,45,1334,41,36,39,28.9,729,1426,153,696,4.5,"27,768",0
SDP,NL,West,28,2016,125,45,1500,36,36,30,28.1,686,1275,177,654,4.23,"29,030",0
SEA,AL,West,13,2016,56,28,1288,24,41,29,30.5,768,1446,223,735,4.74,"27,999",0
SFG,NL,West,10,2016,79,36,1107,42,46,43,29.2,715,1437,130,675,4.41,"41,546",1
STL,NL,Central,12,2016,35,26,1318,37,41,28,28.5,779,1415,225,745,4.81,"42,525",0
TBR,AL,East,27,2016,60,37,1482,18,28,20,27.7,672,1333,216,647,4.15,"15,879",0
